SIRUTA	DENLOC	CODP	JUD	SIRSUP	TIP	NIV	MED	REGIUNE	FSJ	FSL	FS2	FS3	POND	rang	fictiv
2853	TÂRSA                            	517098	1	2577	23	3	3	7	1	1.50E+11	150004	3011919	3615333413	V  	
2862	TÂRSA-PLAI                       	517099	1	2577	23	3	3	7	1	1.50E+11	150004	3011922	3.62E+19	V  	
2871	VALEA MACIULUI                   	517101	1	2577	23	3	3	7	1	1.50E+11	150004	3012815	3.91E+27	V  	
2880	VALEA U?ULUI                     	517102	1	2577	23	3	3	7	1	1.50E+11	150004	3013011	3.91E+23	V  	
2899	VERDE?TI                         	517103	1	2577	23	3	3	7	1	1.50E+11	150004	3013292	3.92E+15	V  	
2906	VIDRI?OARA                       	517104	1	2577	23	3	3	7	1	1.50E+11	150004	3013344	3.92E+19	V  	
2988	BERGHIN                          	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.62E+13	IV 	
2997	BERGHIN                          	517110	1	2988	22	3	3	7	1	1.50E+11	150005	1001007	1.62E+13	IV 	
3002	GHIRBOM                          	517111	1	2988	23	3	3	7	1	1.50E+11	150005	3005246	2.12E+13	V  	
3011	HENIG                            	517112	1	2988	23	3	3	7	1	1.50E+11	150005	3005788	2219292321	V  	
3020	STRAJA                           	517113	1	2988	23	3	3	7	1	1.50E+11	150005	3011302	3.44E+11	V  	
3039	BISTRA                           	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.62E+11	IV 	
3048	BISTRA                           	517115	1	3039	22	3	3	7	1	1.50E+11	150006	1001102	1.62E+11	IV 	
3057	ARONE?TI                         	517116	1	3039	23	3	3	7	1	1.50E+11	150006	3000323	1.33E+15	V  	
3066	B?LE?TI                          	517117	1	3039	23	3	3	7	1	1.50E+11	150006	3000668	1.62E+13	V  	
3075	B?LE?TI-C?TUN                    	517118	1	3039	23	3	3	7	1	1.50E+11	150006	3000670	1.62E+25	V  	
3084	BÂRLE?TI                         	517119	1	3039	23	3	3	7	1	1.50E+11	150006	3000838	1.62E+15	V  	
3093	CHELETENI                        	517121	1	3039	23	3	3	7	1	1.50E+11	150006	3002578	1.72E+17	V  	
3100	CIULDE?TI                        	517122	1	3039	23	3	3	7	1	1.50E+11	150006	3002894	1.72E+17	V  	
3119	CRE?E?TI                         	517123	1	3039	23	3	3	7	1	1.50E+11	150006	3003549	1.73E+15	V  	
3137	DÂMBURENI                        	517124	1	3039	23	3	3	7	1	1.50E+11	150006	3003874	1.82E+17	V  	
3128	DEALU MUNTELUI                   	517126	1	3039	23	3	3	7	1	1.50E+11	150006	3003948	1.82E+27	V  	
3146	DUR??TI                          	517127	1	3039	23	3	3	7	1	1.50E+11	150006	3004481	1.84E+13	V  	
3155	G?NE?TI                          	517128	1	3039	23	3	3	7	1	1.50E+11	150006	3005039	2.12E+13	V  	
3164	GÂRDE                            	517129	1	3039	23	3	3	7	1	1.50E+11	150006	3005100	2115331819	V  	
3173	HODI?E?TI                        	517131	1	3039	23	3	3	7	1	1.50E+11	150006	3005846	2.23E+17	V  	
3182	HUDRICE?TI                       	517132	1	3039	23	3	3	7	1	1.50E+11	150006	3005947	2.24E+19	V  	
3191	LIPAIA                           	517133	1	3039	23	3	3	7	1	1.50E+11	150006	3006644	2.72E+11	V  	
3208	LUNCA LARG?                      	517134	1	3039	23	3	3	7	1	1.50E+11	150006	3006836	2.74E+21	V  	
3217	LUNCA MERILOR                    	517136	1	3039	23	3	3	7	1	1.50E+11	150006	3006841	2.74E+25	V  	
3226	MIH?IE?TI                        	517137	1	3039	23	3	3	7	1	1.50E+11	150006	3007473	2.82E+17	V  	
3235	N?MA?                            	517138	1	3039	23	3	3	7	1	1.50E+11	150006	3007879	2929281313	V  	
3244	NOV?CE?TI                        	517139	1	3039	23	3	3	7	1	1.50E+11	150006	3008086	2.93E+17	V  	
3253	PERJE?TI                         	517141	1	3039	23	3	3	7	1	1.50E+11	150006	3008712	3.12E+15	V  	
3262	POIANA                           	517142	1	3039	23	3	3	7	1	1.50E+11	150006	3009178	3.13E+11	V  	
3271	POIU                             	517143	1	3039	23	3	3	7	1	1.50E+11	150006	3009305	31302338	V  	
3280	R?TITI?                          	517144	1	3039	23	3	3	7	1	1.50E+11	150006	3009818	3.33E+13	V  	
3299	RUNCURI                          	517146	1	3039	23	3	3	7	1	1.50E+11	150006	3010180	3.34E+13	V  	
3306	S?L?GE?TI                        	517147	1	3039	23	3	3	7	1	1.50E+11	150006	3010414	3.43E+17	V  	
3315	?TEFANCA                         	517148	1	3039	23	3	3	7	1	1.50E+11	150006	3011675	2.34E+15	V  	
3324	TOL?CE?TI                        	517149	1	3039	23	3	3	7	1	1.50E+11	150006	3012102	3.63E+17	V  	
3333	TOMNATEC                         	517151	1	3039	23	3	3	7	1	1.50E+11	150006	3012112	3.63E+15	V  	
3342	TRI?ORE?TI                       	517152	1	3039	23	3	3	7	1	1.50E+11	150006	3012224	3.63E+19	V  	
3351	??R?NE?TI                        	517153	1	3039	23	3	3	7	1	1.50E+11	150006	3012335	2.32E+17	V  	
3379	VÂR?II MARI                      	517156	1	3039	23	3	3	7	1	1.50E+11	150006	3013254	3.92E+21	V  	
3388	VÂR?II MICI                      	517157	1	3039	23	3	3	7	1	1.50E+11	150006	3013255	3.92E+21	V  	
3360	VÂR?I-RONTU                      	517154	1	3039	23	3	3	7	1	1.50E+11	150006	3013253	3.92E+21	V  	
3397	BLANDIANA                        	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.63E+17	IV 	
3404	BLANDIANA                        	517160	1	3397	22	3	3	7	1	1.50E+11	150007	1001136	1.63E+17	IV 	
3413	ACMARIU                          	517161	1	3397	23	3	3	7	1	1.50E+11	150007	3000021	1.32E+13	V  	
3422	IBRU                             	517162	1	3397	23	3	3	7	1	1.50E+11	150007	3006045	23163338	V  	
3431	POIENI                           	517163	1	3397	23	3	3	7	1	1.50E+11	150007	3009269	3.13E+11	V  	
3440	R?C?T?U                          	517164	1	3397	23	3	3	7	1	1.50E+11	150007	3009728	3.33E+13	V  	
9026	BUCERDEA GRÂNOAS?                	0	1	10	3	2	3	7	1	1.50E+11	1	       	1.64E+33	   	0
4204	BUCERDEA GRÂNOAS?                	517261	1	9026	22	3	3	7	1	1.50E+11	150008	3001709	1.64E+33	V  	
4213	CORNU                            	517262	1	9026	23	3	3	7	1	1.50E+11	150008	3003279	1730332938	V  	
4222	P?DURE                           	517263	1	9026	23	3	3	7	1	1.50E+11	150008	3008481	3.13E+11	V  	
