SIRUTA,DENLOC,CODP,JUD,SIRSUP,TIP,NIV,MED,REGIUNE,FSJ,FSL,FS2,FS3,POND,rang,fictiv
1696,ORAŞ CUGIR                       ,0,1,10,2,2,1,7,1,1.30049E+11,1,       ,3.03313E+19,III,
1703,CUGIR                            ,515600,1,1696,17,3,1,7,1,1.30049E+11,130049,1003682,1738212333,III,
1712,BOCŞITURA                        ,515601,1,1696,18,3,1,7,1,1.3005E+11,130049,2001210,1.63017E+17,V  ,
1721,BUCURU                           ,515602,1,1696,18,3,1,7,1,1.3005E+11,130049,2001766,1.63817E+11,V  ,
1730,CĂLENE                           ,515603,1,1696,18,3,1,7,1,1.3005E+11,130049,2002147,1.71727E+11,V  ,
1749,FEŢENI                           ,515604,1,1696,18,3,1,7,1,1.3005E+11,130049,2004710,2.01919E+11,V  ,
1758,GOAŞELE                          ,515605,1,1696,18,3,1,7,1,1.3005E+11,130049,2005361,2.13013E+13,V  ,
1767,MUGEŞTI                          ,515606,1,1696,18,3,1,7,1,1.3005E+11,130049,2007784,2.83821E+13,V  ,
1776,VINEREA                          ,515607,1,1696,18,3,1,7,1,1.3005E+11,130049,2013387,3.92329E+13,V  ,
1794,ORAŞ OCNA MUREŞ                  ,0,1,10,2,2,1,7,1,1.3005E+11,1,       ,3.03313E+29,III,
1801,OCNA MUREŞ                       ,515700,1,1794,17,3,1,7,1,1.3005E+11,130050,1008160,3.01729E+19,III,
1838,CISTEIU DE MUREŞ                 ,515701,1,1794,19,3,1,7,1,1.30051E+11,130050,3002867,1.72334E+31,V  ,
1847,MICOŞLACA                        ,515702,1,1794,19,3,1,7,1,1.30051E+11,130050,3007422,2.82317E+17,V  ,
1856,RĂZBOIENI-CETATE                 ,515703,1,1794,19,3,1,7,1,1.30051E+11,130050,3009831,3.33342E+31,V  ,
1810,UIOARA DE JOS                    ,515704,1,1794,18,3,1,7,1,1.30051E+11,130050,2012443,3.8233E+25,V  ,
1829,UIOARA DE SUS                    ,515705,1,1794,18,3,1,7,1,1.30051E+11,130050,2012444,3.8233E+25,V  ,
8096,ORAŞ TEIUŞ                       ,0,1,10,2,2,1,7,1,1.30051E+11,1,       ,3.03313E+19,III,
8103,TEIUŞ                            ,515900,1,8096,17,3,1,7,1,1.30051E+11,130051,1011953,3619233838,III,
8112,BELDIU                           ,515901,1,8096,19,3,1,7,1,1.30052E+11,130051,3000938,1.61927E+11,V  ,
8121,CĂPUD                            ,515902,1,8096,19,3,1,7,1,1.30052E+11,130051,3002238,1717313818,V  ,
8130,COŞLARIU NOU                     ,515903,1,8096,19,3,1,7,1,1.30052E+11,130051,3003392,1.7303E+23,V  ,
8149,PEŢELCA                          ,515904,1,8096,19,3,1,7,1,1.30052E+11,130051,3008812,3.11919E+13,V  ,
1936,ORAŞ ZLATNA                      ,0,1,10,2,2,1,7,1,1.30052E+11,1,       ,3.03313E+21,III,
1945,ZLATNA                           ,516100,1,1936,17,3,1,7,1,1.30052E+11,130052,1013705,4.22713E+11,III,
1954,BOTEŞTI                          ,516101,1,1936,19,3,1,7,1,1.30053E+11,130052,3001442,1.63036E+13,V  ,
1963,BUDENI                           ,516102,1,1936,19,3,1,7,1,1.30053E+11,130052,3001794,1.63818E+11,V  ,
1972,DEALU ROATEI                     ,516103,1,1936,19,3,1,7,1,1.30053E+11,130052,3003956,1.81913E+23,V  ,
1981,DOBROT                           ,516104,1,1936,19,3,1,7,1,1.30053E+11,130052,3004141,1.83016E+11,V  ,
1990,DUMBRAVA                         ,516105,1,1936,19,3,1,7,1,1.30053E+11,130052,3004393,1.83828E+15,V  ,
2005,FENEŞ                            ,516106,1,1936,19,3,1,7,1,1.30053E+11,130052,3004688,2019291919,V  ,
2014,GALAŢI                           ,516107,1,1936,19,3,1,7,1,1.30053E+11,130052,3004957,2.11327E+11,V  ,
2023,IZVORU AMPOIULUI                 ,516108,1,1936,19,3,1,7,1,1.30053E+11,130052,3006303,2.34239E+31,V  ,
2032,PĂTRÂNGENI                       ,516109,1,1936,19,3,1,7,1,1.30053E+11,130052,3008579,3.13136E+19,V  ,
2050,PÂRĂU GRUIULUI                   ,516110,1,1936,19,3,1,7,1,1.30053E+11,130052,3008632,3.11533E+27,V  ,
2041,PIRITA                           ,516111,1,1936,19,3,1,7,1,1.30053E+11,130052,3008899,3.12333E+11,V  ,
2069,PODU LUI PAUL                    ,516112,1,1936,19,3,1,7,1,1.30053E+11,130052,3009112,3.13018E+25,V  ,
2078,RUNC                             ,516113,1,1936,19,3,1,7,1,1.30053E+11,130052,3010160,33382917,V  ,
2087,RUŞI                             ,516114,1,1936,19,3,1,7,1,1.30053E+11,130052,3010217,33383823,V  ,
2096,SUSENI                           ,516115,1,1936,19,3,1,7,1,1.30053E+11,130052,3011447,3.43834E+11,V  ,
2103,TRÂMPOIELE                       ,516116,1,1936,19,3,1,7,1,1.30053E+11,130052,3012193,3.63315E+19,V  ,
2112,VALEA MICĂ                       ,516117,1,1936,19,3,1,7,1,1.30053E+11,130052,3012862,3.91327E+19,V  ,
2121,VÂLTORI                          ,516118,1,1936,19,3,1,7,1,1.30053E+11,130052,3013217,3.91527E+13,V  ,
2130,ALBAC                            ,0,1,10,3,2,3,7,1,1.50001E+11,1,       ,1327161317,IV ,
